participant_id,age_group,age_mid,walking_frequency,walking_frequency_code,heat_sensitivity,heat_sensitivity_code,public_transport_usage,public_transport_code,walk_pace_per_km,walking_speed_kmh,travel_time_influence,green_space_influence,quality_of_life,priority_improvement
P001,18-24,21,3-5 times per week,2,High,3,3-5 times per week,2,<10 minutes,6.7,4.0,5.0,7.0,Better pedestrian infrastructure and walkability
P002,18-24,21,1-2 times per week,1,Low,1,Never/ Rarely,0,<10 minutes,6.7,5.0,3.0,2.0,More sheltered and weather-protected walking paths
P003,45-59,52,Rarely,0,Moderate,2,Never/ Rarely,0,10-12 minutes,5.5,3.0,4.0,7.0,Better traffic management and reduced congestion
P004,18-24,21,3-5 times per week,2,Moderate,2,Daily,3,16-20 minutes,3.3,5.0,5.0,5.0,Better access to essential facilities and services
P005,18-24,21,3-5 times per week,2,Moderate,2,Never/ Rarely,0,13-15 minutes,4.3,4.0,3.0,8.0,Better traffic management and reduced congestion
P006,45-59,52,3-5 times per week,2,High,3,1-2 times per week,1,13-15 minutes,4.3,4.0,5.0,4.0,Better public transportation
P007,18-24,21,Daily,3,High,3,Never/ Rarely,0,<10 minutes,6.7,2.0,5.0,6.0,Better public transportation
P008,18-24,21,Daily,3,Low,1,Never/ Rarely,0,<10 minutes,6.7,3.0,5.0,10.0,Improved drainage and flood management
P009,25-34,29,1-2 times per week,1,Moderate,2,3-5 times per week,2,10-12 minutes,5.5,3.0,4.0,5.0,Better traffic management and reduced congestion
P010,18-24,21,Daily,3,Moderate,2,Daily,3,16-20 minutes,3.3,5.0,,1.0,Better pedestrian infrastructure and walkability
P011,18-24,21,Daily,3,Moderate,2,Never/ Rarely,0,<10 minutes,6.7,2.0,5.0,,
P012,18-24,21,Daily,3,Moderate,2,1-2 times per week,1,<10 minutes,6.7,3.0,4.0,6.0,"More trees, green spaces, and shaded pedestrian areas"
P013,45-59,52,3-5 times per week,2,Low,1,Never/ Rarely,0,16-20 minutes,3.3,4.0,5.0,4.0,Better planned development to reduce overcrowding
P014,Under 18,16,Daily,3,High,3,Never/ Rarely,0,16-20 minutes,3.3,4.0,5.0,5.0,Better planned development to reduce overcrowding
P015,18-24,21,1-2 times per week,1,High,3,Never/ Rarely,0,13-15 minutes,4.3,4.0,4.0,2.0,More sheltered and weather-protected walking paths
P016,18-24,21,3-5 times per week,2,Moderate,2,1-2 times per week,1,10-12 minutes,5.5,4.0,4.0,8.0,"More trees, green spaces, and shaded pedestrian areas"
P017,Under 18,16,3-5 times per week,2,Moderate,2,Never/ Rarely,0,10-12 minutes,5.5,4.0,5.0,8.0,"More trees, green spaces, and shaded pedestrian areas"
P018,Under 18,16,Daily,3,Low,1,Never/ Rarely,0,10-12 minutes,5.5,4.0,5.0,6.0,Better traffic management and reduced congestion
P019,18-24,21,Daily,3,Moderate,2,Never/ Rarely,0,<10 minutes,6.7,4.0,4.0,8.0,"More trees, green spaces, and shaded pedestrian areas"
P020,18-24,21,Daily,3,Moderate,2,1-2 times per week,1,<10 minutes,6.7,5.0,4.0,7.0,Better traffic management and reduced congestion
P021,18-24,21,Daily,3,Low,1,Never/ Rarely,0,10-12 minutes,5.5,5.0,3.0,6.0,Better access to essential facilities and services
P022,18-24,21,Rarely,0,Moderate,2,Never/ Rarely,0,13-15 minutes,4.3,5.0,5.0,8.0,"More trees, green spaces, and shaded pedestrian areas"
P023,18-24,21,Daily,3,Low,1,3-5 times per week,2,10-12 minutes,5.5,2.0,5.0,9.0,Better planned development to reduce overcrowding
P024,Under 18,16,Daily,3,Moderate,2,1-2 times per week,1,10-12 minutes,5.5,3.0,4.0,9.0,Better traffic management and reduced congestion
P025,18-24,21,Daily,3,Moderate,2,Never/ Rarely,0,10-12 minutes,5.5,5.0,4.0,7.0,More sheltered and weather-protected walking paths
P026,45-59,52,1-2 times per week,1,Moderate,2,1-2 times per week,1,10-12 minutes,5.5,4.0,3.0,7.0,Better traffic management and reduced congestion
P027,Under 18,16,1-2 times per week,1,Moderate,2,1-2 times per week,1,10-12 minutes,5.5,4.0,5.0,8.0,Better traffic management and reduced congestion
P028,18-24,21,Daily,3,Low,1,Daily,3,10-12 minutes,5.5,2.0,5.0,8.0,"More trees, green spaces, and shaded pedestrian areas"
P029,Under 18,16,Rarely,0,Moderate,2,1-2 times per week,1,13-15 minutes,4.3,4.0,3.0,9.0,Better traffic management and reduced congestion
P030,18-24,21,Daily,3,Moderate,2,Never/ Rarely,0,<10 minutes,6.7,2.0,5.0,8.0,"More trees, green spaces, and shaded pedestrian areas"
P031,18-24,21,Daily,3,Low,1,Never/ Rarely,0,13-15 minutes,4.3,5.0,5.0,6.0,"More trees, green spaces, and shaded pedestrian areas"
P032,Under 18,16,Daily,3,Low,1,1-2 times per week,1,<10 minutes,6.7,4.0,3.0,6.0,"More trees, green spaces, and shaded pedestrian areas"
P033,35-44,39,Daily,3,Moderate,2,1-2 times per week,1,<10 minutes,6.7,1.0,1.0,3.0,"More trees, green spaces, and shaded pedestrian areas"
P034,35-44,39,1-2 times per week,1,High,3,Never/ Rarely,0,13-15 minutes,4.3,5.0,5.0,8.0,Improved drainage and flood management
P035,18-24,21,1-2 times per week,1,Moderate,2,Never/ Rarely,0,10-12 minutes,5.5,4.0,4.0,4.0,Improved drainage and flood management
P036,60+,66,3-5 times per week,2,Moderate,2,Never/ Rarely,0,<10 minutes,6.7,3.0,4.0,6.0,Improved drainage and flood management
P037,Under 18,16,1-2 times per week,1,Moderate,2,1-2 times per week,1,<10 minutes,6.7,3.0,4.0,9.0,Improved drainage and flood management
P038,25-34,29,Daily,3,Moderate,2,1-2 times per week,1,<10 minutes,6.7,5.0,5.0,6.0,More sheltered and weather-protected walking paths
P039,60+,66,3-5 times per week,2,Moderate,2,1-2 times per week,1,13-15 minutes,4.3,4.0,3.0,5.0,Improved drainage and flood management
P040,60+,66,Daily,3,Moderate,2,Never/ Rarely,0,13-15 minutes,4.3,2.0,5.0,10.0,"More trees, green spaces, and shaded pedestrian areas"
P041,18-24,21,1-2 times per week,1,Moderate,2,Never/ Rarely,0,<10 minutes,6.7,3.0,4.0,8.0,Better public transportation
