citizen_id,archetype,age_group,age_mid,walking_speed_kmh,heat_tolerance,rain_tolerance,crowd_tolerance,green_preference,transit_preference
C00001,Student,18-24,21,5.9,0.244,0.637,0.605,0.81,0.209
C00002,Transit-dependent citizen,25-34,29,5.09,0.358,0.288,0.443,0.722,0.63
C00003,Student,Under 18,16,6.58,0.595,0.836,0.448,0.969,0.024
C00004,Student,18-24,21,6.03,0.078,0.998,0.105,0.989,0.266
C00005,Family / parent,35-44,39,4.17,0.035,0.57,0.163,0.981,0.133
C00006,Student,18-24,21,4.26,0.155,0.992,0.32,0.883,0.36
C00007,Student,18-24,21,4.99,0.408,0.445,0.433,0.87,0.469
C00008,Student,18-24,21,6.04,0.619,0.98,0.548,0.207,0.364
C00009,Transit-dependent citizen,18-24,21,5.99,0.618,0.515,0.606,0.276,0.923
C00010,Outdoor worker,18-24,21,3.84,0.741,0.645,0.563,0.856,0.358
C00011,Student,Under 18,16,6.38,0.257,0.743,0.481,0.728,0.042
C00012,Student,18-24,21,3.91,0.107,0.081,0.716,0.875,0.287
C00013,Outdoor worker,18-24,21,6.47,0.906,0.901,0.629,0.804,0.143
C00014,Transit-dependent citizen,18-24,21,4.78,0.448,0.394,0.526,0.778,0.788
C00015,General pedestrian,35-44,39,4.8,0.435,0.939,0.242,0.788,0.02
C00016,Outdoor worker,25-34,29,5.38,0.744,0.484,0.358,0.943,0.364
C00017,Transit-dependent citizen,18-24,21,5.23,0.023,0.957,0.356,0.857,0.723
C00018,Transit-dependent citizen,18-24,21,4.66,0.309,0.089,0.467,0.736,0.901
C00019,Outdoor worker,18-24,21,6.87,0.793,0.821,0.531,0.889,0.103
C00020,Student,18-24,21,5.27,0.39,0.905,0.353,0.679,0.015
C00021,Elderly citizen,60+,66,6.84,0.102,0.798,0.363,0.66,0.045
C00022,Transit-dependent citizen,35-44,39,5.01,0.323,0.981,0.146,0.987,0.964
C00023,Outdoor worker,18-24,21,6.29,0.935,0.931,0.507,0.928,0.005
C00024,General pedestrian,45-59,52,5.85,0.648,0.938,0.622,0.669,0.02
C00025,Outdoor worker,18-24,21,5.75,0.801,0.984,0.447,0.633,0.019
C00026,Student,18-24,21,5.64,0.363,0.934,0.36,0.939,0.197
C00027,Outdoor worker,18-24,21,7.2,0.782,0.994,0.486,0.559,0.139
C00028,Student,18-24,21,7.2,0.22,0.342,0.29,0.924,0.002
C00029,Student,Under 18,16,5.3,0.424,0.651,0.378,0.961,0.177
C00030,Outdoor worker,18-24,21,6.52,0.748,0.994,0.459,0.599,0.045
C00031,Student,Under 18,16,6.12,0.629,0.929,0.459,0.761,0.08
C00032,Student,Under 18,16,6.99,0.519,0.07,0.492,0.722,0.091
C00033,Outdoor worker,45-59,52,4.35,0.848,0.269,0.388,0.824,0.021
C00034,Transit-dependent citizen,18-24,21,3.96,0.539,0.428,0.257,0.953,0.863
C00035,Student,18-24,21,4.09,0.066,0.007,0.679,0.63,0.15
C00036,General pedestrian,25-34,29,5.04,0.027,0.434,0.319,0.744,0.5
C00037,General pedestrian,25-34,29,5.82,0.081,0.796,0.492,0.812,0.206
C00038,Transit-dependent citizen,Under 18,16,6.07,0.635,0.977,0.509,0.932,0.811
C00039,Student,18-24,21,5.8,0.404,0.985,0.298,0.749,0.091
C00040,Student,18-24,21,6.19,0.614,0.176,0.748,0.813,0.0
C00041,General pedestrian,35-44,39,5.69,0.621,0.698,0.306,0.839,0.544
C00042,Family / parent,45-59,52,6.63,0.027,0.965,0.317,0.946,0.004
C00043,Student,18-24,21,4.01,0.116,0.104,0.336,0.828,0.026
C00044,Outdoor worker,Under 18,16,4.74,0.754,0.695,0.397,0.909,0.1
C00045,Transit-dependent citizen,18-24,21,5.99,0.62,0.901,0.376,0.98,0.696
C00046,Outdoor worker,45-59,52,6.34,0.967,0.932,0.422,0.882,0.008
C00047,Family / parent,45-59,52,5.35,0.417,0.966,0.433,0.933,0.001
C00048,Outdoor worker,Under 18,16,6.25,0.889,0.853,0.331,0.686,0.101
C00049,Mobility-limited citizen,18-24,21,3.37,0.459,0.89,0.105,0.992,0.185
C00050,General pedestrian,35-44,39,5.83,0.536,0.338,0.513,0.793,0.059
C00051,Elderly citizen,60+,66,5.92,0.42,0.038,0.332,0.739,0.049
C00052,Elderly citizen,60+,66,5.4,0.226,0.407,0.313,0.724,0.079
C00053,Student,Under 18,16,6.75,0.445,0.861,0.434,0.948,0.169
C00054,Mobility-limited citizen,18-24,21,3.38,0.575,0.838,0.398,0.908,0.718
C00055,Elderly citizen,60+,66,5.23,0.405,0.869,0.175,0.591,0.319
C00056,Family / parent,45-59,52,5.26,0.26,0.807,0.465,0.98,0.17
C00057,Outdoor worker,Under 18,16,5.62,0.94,0.326,0.465,0.904,0.003
C00058,General pedestrian,25-34,29,5.97,0.136,0.037,0.252,0.709,0.007
C00059,Student,18-24,21,5.03,0.17,0.459,0.336,0.92,0.007
C00060,Student,Under 18,16,4.96,0.468,0.506,0.452,0.867,0.158
C00061,Transit-dependent citizen,25-34,29,7.2,0.759,0.073,0.67,0.747,0.705
C00062,Outdoor worker,18-24,21,6.21,0.814,0.999,0.593,0.928,0.111
C00063,Outdoor worker,18-24,21,5.25,0.951,0.928,0.544,0.973,0.052
C00064,Student,18-24,21,5.58,0.23,0.974,0.545,0.752,0.397
C00065,Outdoor worker,18-24,21,5.63,0.767,0.075,0.736,0.4,0.126
C00066,Elderly citizen,60+,66,4.1,0.062,0.887,0.272,0.839,0.139
C00067,Student,18-24,21,4.4,0.09,0.249,0.275,0.91,0.51
C00068,Transit-dependent citizen,18-24,21,6.78,0.372,0.606,0.442,0.577,0.637
C00069,Outdoor worker,Under 18,16,5.13,0.882,0.927,0.51,0.778,0.001
C00070,Outdoor worker,18-24,21,5.85,0.946,0.973,0.724,0.268,0.01
C00071,Student,18-24,21,6.68,0.573,0.898,0.163,0.984,0.006
C00072,Student,Under 18,16,5.38,0.233,0.798,0.393,0.915,0.013
C00073,Student,18-24,21,5.5,0.102,0.945,0.174,0.846,0.256
C00074,General pedestrian,45-59,52,3.95,0.204,0.986,0.36,0.799,0.567
C00075,Student,Under 18,16,6.55,0.523,0.188,0.424,0.837,0.004
C00076,General pedestrian,45-59,52,5.13,0.311,0.632,0.486,0.654,0.352
C00077,Student,18-24,21,5.4,0.13,0.537,0.585,0.608,0.006
C00078,Student,18-24,21,7.2,0.464,0.994,0.635,0.472,0.573
C00079,Transit-dependent citizen,45-59,52,3.93,0.213,0.947,0.43,0.851,0.616
