participant_id,age_group,age_mid,walking_frequency,walking_frequency_code,heat_sensitivity,heat_sensitivity_code,public_transport_usage,public_transport_code,walk_pace_per_km,walking_speed_kmh,travel_time_influence,green_space_influence,quality_of_life,priority_improvement,scenario_id,temperature_c,rain_level,crowd_density,shade_percentage,green_space_level,comfort,stress,walking_likelihood,avoidance_likelihood,route_choice,improvement_choice,avoid_factor
P001,18-24,21,3-5 times per week,2,High,3,3-5 times per week,2,<10 minutes,6.7,4.0,5.0,7.0,Better pedestrian infrastructure and walkability,S01,28,None,20,80,High,5.0,,4.0,,,,
P001,18-24,21,3-5 times per week,2,High,3,3-5 times per week,2,<10 minutes,6.7,4.0,5.0,7.0,Better pedestrian infrastructure and walkability,S02,35,None,50,50,Medium,1.0,4.0,,,Depends on the weather,,
P001,18-24,21,3-5 times per week,2,High,3,3-5 times per week,2,<10 minutes,6.7,4.0,5.0,7.0,Better pedestrian infrastructure and walkability,S03,42,None,85,15,Low,1.0,5.0,1.0,,,Better pedestrian infrastructure,
P001,18-24,21,3-5 times per week,2,High,3,3-5 times per week,2,<10 minutes,6.7,4.0,5.0,7.0,Better pedestrian infrastructure and walkability,S04,40,Heavy,85,15,Low,,,,2.0,,,Extreme heat
P002,18-24,21,1-2 times per week,1,Low,1,Never/ Rarely,0,<10 minutes,6.7,5.0,3.0,2.0,More sheltered and weather-protected walking paths,S01,28,None,20,80,High,5.0,,5.0,,,,
P002,18-24,21,1-2 times per week,1,Low,1,Never/ Rarely,0,<10 minutes,6.7,5.0,3.0,2.0,More sheltered and weather-protected walking paths,S02,35,None,50,50,Medium,3.0,2.0,,,Shaded/less crowded route,,
P002,18-24,21,1-2 times per week,1,Low,1,Never/ Rarely,0,<10 minutes,6.7,5.0,3.0,2.0,More sheltered and weather-protected walking paths,S03,42,None,85,15,Low,1.0,5.0,1.0,,,More shaded pedestrian paths,
P002,18-24,21,1-2 times per week,1,Low,1,Never/ Rarely,0,<10 minutes,6.7,5.0,3.0,2.0,More sheltered and weather-protected walking paths,S04,40,Heavy,85,15,Low,,,,2.0,,,Heavy rainfall
P003,45-59,52,Rarely,0,Moderate,2,Never/ Rarely,0,10-12 minutes,5.5,3.0,4.0,7.0,Better traffic management and reduced congestion,S01,28,None,20,80,High,5.0,,3.0,,,,
P003,45-59,52,Rarely,0,Moderate,2,Never/ Rarely,0,10-12 minutes,5.5,3.0,4.0,7.0,Better traffic management and reduced congestion,S02,35,None,50,50,Medium,3.0,4.0,,,Shaded/less crowded route,,
P003,45-59,52,Rarely,0,Moderate,2,Never/ Rarely,0,10-12 minutes,5.5,3.0,4.0,7.0,Better traffic management and reduced congestion,S03,42,None,85,15,Low,2.0,4.0,1.0,,,More trees and green spaces,
P003,45-59,52,Rarely,0,Moderate,2,Never/ Rarely,0,10-12 minutes,5.5,3.0,4.0,7.0,Better traffic management and reduced congestion,S04,40,Heavy,85,15,Low,,,,1.0,,,Heavy rainfall
P004,18-24,21,3-5 times per week,2,Moderate,2,Daily,3,16-20 minutes,3.3,5.0,5.0,5.0,Better access to essential facilities and services,S01,28,None,20,80,High,5.0,,4.0,,,,
P004,18-24,21,3-5 times per week,2,Moderate,2,Daily,3,16-20 minutes,3.3,5.0,5.0,5.0,Better access to essential facilities and services,S02,35,None,50,50,Medium,5.0,4.0,,,Shaded/less crowded route,,
P004,18-24,21,3-5 times per week,2,Moderate,2,Daily,3,16-20 minutes,3.3,5.0,5.0,5.0,Better access to essential facilities and services,S03,42,None,85,15,Low,1.0,5.0,1.0,,,Better crowd management / wider pedestrian spaces,
P004,18-24,21,3-5 times per week,2,Moderate,2,Daily,3,16-20 minutes,3.3,5.0,5.0,5.0,Better access to essential facilities and services,S04,40,Heavy,85,15,Low,,,,5.0,,,Crowding
P005,18-24,21,3-5 times per week,2,Moderate,2,Never/ Rarely,0,13-15 minutes,4.3,4.0,3.0,8.0,Better traffic management and reduced congestion,S01,28,None,20,80,High,5.0,,3.0,,,,
P005,18-24,21,3-5 times per week,2,Moderate,2,Never/ Rarely,0,13-15 minutes,4.3,4.0,3.0,8.0,Better traffic management and reduced congestion,S02,35,None,50,50,Medium,3.0,4.0,,,Shaded/less crowded route,,
P005,18-24,21,3-5 times per week,2,Moderate,2,Never/ Rarely,0,13-15 minutes,4.3,4.0,3.0,8.0,Better traffic management and reduced congestion,S03,42,None,85,15,Low,1.0,4.0,2.0,,,More shaded pedestrian paths,
